                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    150,                0.74912,                0.43829,                0.97423,                0.88473,                0.88148,                 0.9558,                0.72859,                0.81738,                0.50273,                 1.0191,              0.0085249,              0.0085249,              0.0085249
                    151,                 0.7406,                0.44034,                0.95583,                0.86826,                0.89888,                0.94761,                0.71035,                 0.8348,                0.51771,                  1.026,               0.008515,               0.008515,               0.008515
                    152,                0.72543,                 0.4376,                 0.9525,                 0.8946,                0.82937,                0.90253,                0.66798,                0.82046,                0.55498,                 1.0008,              0.0085051,              0.0085051,              0.0085051
                    153,                0.73145,                0.43944,                0.96678,                0.87182,                0.88219,                0.94981,                0.71361,                0.82774,                0.52804,                 1.0009,              0.0084952,              0.0084952,              0.0084952
                    154,                0.73423,                0.43847,                0.94981,                0.89265,                0.80517,                0.90735,                0.70651,                0.80634,                0.51477,                 1.0133,              0.0084853,              0.0084853,              0.0084853
                    155,                0.74103,                0.45223,                0.95739,                0.88357,                0.81075,                0.92505,                0.68222,                0.82995,                0.53367,                 1.0339,              0.0084754,              0.0084754,              0.0084754
                    156,                0.72186,                0.43697,                0.95772,                0.85357,                 0.8598,                0.90022,                0.66004,                0.85915,                  0.547,                 1.0428,              0.0084655,              0.0084655,              0.0084655
                    157,                0.73161,                0.43806,                0.96053,                0.86527,                0.86926,                0.90214,                0.67144,                 0.8561,                0.51012,                 1.0528,              0.0084556,              0.0084556,              0.0084556
                    158,                0.74104,                0.43142,                 0.9648,                0.90812,                0.91943,                0.96539,                0.74016,                0.83082,                0.46488,                 1.0286,              0.0084457,              0.0084457,              0.0084457
                    159,                0.72532,                0.42802,                0.96189,                0.86629,                0.84643,                0.92134,                0.70248,                0.80161,                0.54127,                 1.0148,              0.0084358,              0.0084358,              0.0084358
                    160,                0.73305,                0.44112,                0.95514,                0.82802,                0.89627,                0.95474,                0.70993,                0.83204,                0.52086,                  1.047,              0.0084259,              0.0084259,              0.0084259
                    161,                0.73107,                0.43819,                0.96217,                0.89236,                0.89957,                0.93353,                0.70847,                0.82557,                0.50089,                 1.0335,               0.008416,               0.008416,               0.008416
                    162,                0.71909,                0.41856,                0.95348,                0.91005,                0.91762,                0.95606,                0.71991,                0.80064,                0.47752,                 1.0149,              0.0084061,              0.0084061,              0.0084061
                    163,                0.72278,                0.43221,                0.95392,                0.84055,                0.89788,                0.93784,                0.70642,                0.79202,                0.52303,                0.98835,              0.0083962,              0.0083962,              0.0083962
                    164,                0.72555,                0.42419,                0.95462,                0.87581,                0.86442,                0.93766,                0.71594,                0.81196,                0.51792,                 1.0054,              0.0083863,              0.0083863,              0.0083863
                    165,                0.72893,                0.42397,                0.95916,                0.86144,                0.87738,                0.90914,                0.68547,                0.78113,                0.52211,                 1.0035,              0.0083764,              0.0083764,              0.0083764
                    166,                0.70037,                0.43877,                 0.9596,                0.92151,                0.90743,                 0.9602,                0.72973,                  0.775,                0.46529,                0.99034,              0.0083665,              0.0083665,              0.0083665
                    167,                0.71044,                0.43318,                0.94926,                0.88931,                0.88434,                 0.9408,                0.70496,                0.79773,                0.48356,                0.99621,              0.0083566,              0.0083566,              0.0083566
                    168,                0.71793,                0.44077,                0.95757,                0.92808,                0.83789,                0.95237,                0.70117,                0.83851,                0.50643,                 1.0169,              0.0083467,              0.0083467,              0.0083467
                    169,                 0.7066,                0.42958,                0.95911,                0.91723,                0.92805,                0.97389,                0.72445,                0.80474,                0.46473,                 1.0059,              0.0083368,              0.0083368,              0.0083368
                    170,                0.71091,                0.43186,                0.95716,                0.92412,                0.90752,                0.96687,                 0.7293,                 0.7901,                0.46775,                 1.0049,              0.0083269,              0.0083269,              0.0083269
                    171,                0.70252,                0.41709,                0.94915,                0.84425,                0.92987,                0.93686,                0.69851,                0.79175,                0.48306,                  1.012,               0.008317,               0.008317,               0.008317
                    172,                0.69489,                 0.4218,                0.95792,                0.84991,                  0.908,                0.92697,                0.71215,                0.79397,                0.49873,                 1.0055,              0.0083071,              0.0083071,              0.0083071
                    173,                0.69755,                0.41322,                0.94139,                0.91105,                0.91598,                0.95525,                0.72298,                0.79024,                0.47419,                 1.0048,              0.0082972,              0.0082972,              0.0082972
                    174,                0.70167,                0.41426,                0.95216,                0.90005,                0.89841,                0.94599,                0.70864,                0.80167,                0.50849,                  1.012,              0.0082873,              0.0082873,              0.0082873
                    175,                0.69466,                0.42266,                0.95007,                0.87898,                0.88835,                0.93647,                0.70598,                0.79886,                0.51829,                0.99483,              0.0082774,              0.0082774,              0.0082774
                    176,                0.71441,                 0.4365,                0.94971,                0.89849,                 0.8957,                0.94133,                0.71103,                0.79346,                0.49392,                0.99745,              0.0082675,              0.0082675,              0.0082675
                    177,                0.70166,                0.42173,                0.95027,                0.86963,                0.86497,                0.91675,                0.69424,                0.80013,                 0.5488,                 1.0045,              0.0082576,              0.0082576,              0.0082576
                    178,                0.67617,                0.40617,                0.93435,                0.91044,                0.86449,                0.91031,                0.68614,                0.78736,                0.49788,                 1.0036,              0.0082477,              0.0082477,              0.0082477
                    179,                0.70877,                0.41665,                0.95681,                0.89043,                0.94539,                0.95933,                0.72638,                0.78741,                0.47579,                0.99999,              0.0082378,              0.0082378,              0.0082378
                    180,                0.70881,                0.42404,                0.95866,                0.90641,                0.85217,                0.93329,                0.69715,                0.83304,                0.52693,                 1.0295,              0.0082279,              0.0082279,              0.0082279
                    181,                0.71002,                0.41897,                0.94569,                0.89322,                0.91575,                0.95562,                  0.712,                0.81648,                 0.4939,                  1.021,               0.008218,               0.008218,               0.008218
                    182,                0.69661,                0.41052,                0.94675,                0.87753,                0.86732,                0.87988,                0.66662,                0.81056,                0.52782,                 1.0044,              0.0082081,              0.0082081,              0.0082081
                    183,                0.67133,                0.41514,                 0.9402,                0.86747,                 0.9348,                0.95673,                 0.7209,                0.82867,                0.48467,                 1.0092,              0.0081982,              0.0081982,              0.0081982
                    184,                0.69872,                0.42358,                0.95729,                0.87407,                0.86284,                0.92781,                0.72008,                0.80115,                0.48998,                 1.0025,              0.0081883,              0.0081883,              0.0081883
                    185,                0.69368,                 0.4176,                0.94984,                0.90376,                0.91493,                0.95745,                 0.7299,                0.78306,                0.47251,                0.99468,              0.0081784,              0.0081784,              0.0081784
                    186,                 0.6998,                 0.4146,                0.94041,                0.87008,                 0.8858,                0.92798,                0.70249,                0.84597,                0.48571,                 1.0266,              0.0081685,              0.0081685,              0.0081685
                    187,                0.68225,                0.42301,                0.94484,                0.94125,                0.83672,                0.94588,                0.71639,                0.80704,                0.49563,                 1.0143,              0.0081586,              0.0081586,              0.0081586
                    188,                0.67125,                0.40338,                0.93096,                 0.7983,                0.88596,                0.87965,                0.66576,                0.83721,                0.51316,                 1.0336,              0.0081487,              0.0081487,              0.0081487
                    189,                   0.69,                0.41318,                0.95238,                0.95991,                0.84231,                0.95376,                0.73701,                0.78365,                0.47705,                0.99856,              0.0081388,              0.0081388,              0.0081388
                    190,                0.68711,                0.40034,                0.94834,                 0.9198,                0.85321,                0.95458,                 0.7377,                0.79784,                 0.4836,                 1.0225,              0.0081289,              0.0081289,              0.0081289
                    191,                0.69144,                0.39728,                0.94277,                0.84359,                0.87758,                0.94269,                0.72288,                0.78993,                0.49723,                 1.0114,               0.008119,               0.008119,               0.008119
                    192,                 0.6821,                0.40923,                0.94832,                0.89298,                0.87363,                0.93981,                 0.7126,                0.80932,                0.49793,                 1.0168,              0.0081091,              0.0081091,              0.0081091
                    193,                0.69905,                0.41034,                0.94282,                0.90863,                0.87077,                0.95135,                0.71838,                0.79189,                0.48127,                 1.0078,              0.0080992,              0.0080992,              0.0080992
                    194,                 0.6771,                0.40763,                0.93581,                0.88041,                0.89961,                0.94924,                0.70843,                0.81691,                0.48471,                 1.0066,              0.0080893,              0.0080893,              0.0080893
                    195,                0.66442,                0.40958,                0.94256,                0.82808,                0.92443,                0.93901,                0.70706,                0.80769,                0.47591,                 1.0166,              0.0080794,              0.0080794,              0.0080794
                    196,                0.68998,                0.41439,                0.93782,                 0.8556,                0.87598,                0.93086,                0.69774,                0.85323,                0.55496,                 1.0332,              0.0080695,              0.0080695,              0.0080695
                    197,                0.67922,                0.39682,                 0.9351,                 0.9211,                0.90776,                0.97013,                0.73104,                0.80723,                0.47431,                 1.0094,              0.0080596,              0.0080596,              0.0080596
                    198,                0.68505,                0.40877,                0.94167,                0.90457,                0.87335,                0.94928,                0.73496,                0.79413,                0.50098,                0.98594,              0.0080497,              0.0080497,              0.0080497
                    199,                0.67868,                0.40549,                0.93272,                0.89941,                0.85702,                0.94411,                0.71507,                0.81378,                0.48343,                0.99078,              0.0080398,              0.0080398,              0.0080398
                    200,                0.67226,                0.40523,                0.94309,                0.89231,                0.92165,                0.95966,                0.73602,                0.79258,                0.46418,                 0.9942,              0.0080299,              0.0080299,              0.0080299
                    201,                0.68363,                0.40463,                0.95052,                0.87618,                0.91856,                0.94873,                0.71966,                0.80601,                0.50514,                0.99676,                0.00802,                0.00802,                0.00802
                    202,                0.68213,                0.40986,                 0.9394,                0.94612,                0.81235,                0.95413,                0.72006,                 0.7752,                0.48366,                0.99498,              0.0080101,              0.0080101,              0.0080101
                    203,                0.67425,                0.40493,                0.93769,                0.84061,                0.92978,                0.91133,                0.67305,                0.81011,                0.49474,                 1.0042,              0.0080002,              0.0080002,              0.0080002
                    204,                0.67375,                0.39786,                0.93554,                0.90358,                0.89525,                0.95201,                0.70176,                0.78464,                0.45838,                 1.0032,              0.0079903,              0.0079903,              0.0079903
                    205,                0.67492,                0.40812,                0.93929,                0.85522,                0.88334,                0.91357,                0.69184,                0.79412,                0.51225,                0.99784,              0.0079804,              0.0079804,              0.0079804
                    206,                0.67212,                0.39727,                0.93886,                0.87057,                0.91442,                  0.943,                0.72456,                0.78083,                0.48587,                 0.9989,              0.0079705,              0.0079705,              0.0079705
                    207,                0.66696,                0.39794,                0.92363,                0.87653,                0.92585,                0.94271,                0.70898,                0.81608,                0.48735,                 1.0099,              0.0079606,              0.0079606,              0.0079606
                    208,                0.66816,                0.41465,                0.93132,                  0.842,                0.92722,                 0.9179,                0.70038,                0.79837,                0.49067,                0.99445,              0.0079507,              0.0079507,              0.0079507
