                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.1166,                0.72918,                 1.1565,                0.84381,                0.78461,                0.88636,                0.62393,                 1.0153,                0.79801,                 1.1354,              0.0096733,              0.0096733,              0.0096733
                     35,                 1.0706,                0.71394,                 1.1599,                0.95747,                 0.8151,                0.92209,                0.62652,                 1.0538,                0.70546,                 1.1327,              0.0096634,              0.0096634,              0.0096634
                     36,                 1.0633,                0.72273,                 1.1582,                0.86658,                 0.7021,                0.80931,                0.51721,                  1.146,                 1.0426,                  1.231,              0.0096535,              0.0096535,              0.0096535
                     37,                 1.0775,                0.72538,                  1.153,                0.82932,                0.81689,                0.87691,                 0.6075,                 1.0659,                0.75599,                 1.1512,              0.0096436,              0.0096436,              0.0096436
                     38,                  1.078,                0.71649,                 1.1592,                0.82673,                0.80492,                0.86486,                0.57907,                 1.0359,                0.80511,                  1.161,              0.0096337,              0.0096337,              0.0096337
                     39,                 1.0536,                0.68427,                 1.1422,                0.89013,                 0.8465,                0.92756,                0.62867,                0.99283,                0.66683,                  1.128,              0.0096238,              0.0096238,              0.0096238
                     40,                  1.066,                0.70433,                 1.1433,                0.79559,                0.79003,                0.86439,                0.59222,                 1.0627,                0.88109,                 1.1839,              0.0096139,              0.0096139,              0.0096139
                     41,                 1.0456,                0.69375,                 1.1395,                 0.8221,                0.80772,                0.89697,                0.61118,                 1.0272,                0.72088,                 1.1298,               0.009604,               0.009604,               0.009604
                     42,                 1.0533,                0.68937,                  1.143,                0.88901,                0.76437,                0.90549,                0.62887,                 1.0034,                0.70847,                 1.1123,              0.0095941,              0.0095941,              0.0095941
                     43,                 1.0487,                0.67631,                 1.1268,                0.91513,                0.81614,                0.90888,                0.64645,                 1.0054,                 0.6844,                  1.113,              0.0095842,              0.0095842,              0.0095842
                     44,                  1.025,                0.65215,                 1.0983,                 0.8764,                0.78473,                0.90608,                 0.6228,                0.97405,                0.67887,                 1.1004,              0.0095743,              0.0095743,              0.0095743
                     45,                0.99909,                0.65632,                 1.1073,                0.87215,                0.74473,                0.90903,                0.62314,                 1.0281,                0.70803,                 1.1493,              0.0095644,              0.0095644,              0.0095644
                     46,                 1.0193,                0.67763,                 1.1145,                0.92345,                 0.7878,                0.88863,                0.61094,                0.98773,                0.90567,                 1.1193,              0.0095545,              0.0095545,              0.0095545
                     47,                0.99543,                0.65959,                 1.1065,                0.84181,                0.76449,                0.88465,                0.59229,                 1.0304,                0.78202,                 1.1741,              0.0095446,              0.0095446,              0.0095446
                     48,                 1.0112,                0.63636,                 1.1101,                0.90142,                0.83315,                0.93172,                0.63465,                 1.0297,                0.64875,                 1.1434,              0.0095347,              0.0095347,              0.0095347
                     49,                 1.0078,                0.64575,                 1.0963,                0.90477,                0.88659,                0.94172,                0.65547,                0.92523,                0.67149,                 1.0802,              0.0095248,              0.0095248,              0.0095248
                     50,                0.96911,                0.62615,                 1.0923,                0.90786,                0.82678,                0.90613,                 0.6184,                0.97639,                0.69269,                  1.114,              0.0095149,              0.0095149,              0.0095149
                     51,                 1.0035,                 0.6396,                 1.1168,                0.87614,                0.82109,                0.91905,                0.65498,                0.97571,                0.62982,                  1.121,               0.009505,               0.009505,               0.009505
                     52,                0.98064,                0.63497,                 1.0897,                0.87166,                0.80291,                0.89881,                0.65504,                0.92821,                0.67623,                 1.0732,              0.0094951,              0.0094951,              0.0094951
                     53,                0.98733,                  0.625,                 1.0844,                0.78265,                0.83558,                0.89436,                0.62217,                0.92304,                0.65748,                 1.0764,              0.0094852,              0.0094852,              0.0094852
                     54,                0.98701,                0.63566,                 1.0989,                0.91159,                0.79515,                0.90873,                0.63139,                0.95299,                0.67048,                 1.0846,              0.0094753,              0.0094753,              0.0094753
                     55,                0.97086,                0.61712,                 1.0809,                0.81945,                0.75244,                0.86093,                0.59429,                0.94619,                0.74074,                 1.0789,              0.0094654,              0.0094654,              0.0094654
                     56,                0.98606,                0.63049,                 1.0819,                0.80667,                 0.7264,                0.83057,                0.57662,                 0.9927,                0.75487,                 1.1247,              0.0094555,              0.0094555,              0.0094555
                     57,                 0.9692,                0.61139,                 1.0864,                0.94315,                0.79099,                0.93034,                0.66081,                0.92809,                0.65329,                 1.0862,              0.0094456,              0.0094456,              0.0094456
                     58,                0.96076,                0.59366,                 1.0809,                0.92101,                0.84988,                0.93715,                0.63834,                0.94164,                0.62431,                 1.0736,              0.0094357,              0.0094357,              0.0094357
                     59,                0.93274,                0.57992,                 1.0542,                0.87587,                0.84108,                0.92431,                0.65765,                 0.9075,                0.61952,                 1.0632,              0.0094258,              0.0094258,              0.0094258
                     60,                0.96049,                0.59902,                 1.0851,                0.88171,                0.81726,                0.91148,                0.64429,                0.94474,                0.65051,                 1.0797,              0.0094159,              0.0094159,              0.0094159
                     61,                 0.9425,                0.58521,                 1.0684,                0.89433,                0.85221,                0.92745,                0.67507,                0.89531,                0.59709,                 1.0598,               0.009406,               0.009406,               0.009406
                     62,                0.95085,                 0.5935,                 1.0747,                0.80498,                0.87906,                0.90106,                0.63694,                0.95115,                0.69609,                 1.0888,              0.0093961,              0.0093961,              0.0093961
                     63,                 0.9289,                0.58097,                 1.0493,                0.83871,                0.80364,                0.87412,                0.64406,                0.91755,                0.65968,                 1.0763,              0.0093862,              0.0093862,              0.0093862
                     64,                0.93885,                0.59915,                 1.0613,                0.85275,                0.79434,                 0.9073,                0.64857,                0.91166,                0.62045,                 1.0644,              0.0093763,              0.0093763,              0.0093763
                     65,                0.92151,                0.59047,                 1.0573,                0.83366,                0.82036,                0.90961,                0.67328,                0.86446,                0.62065,                 1.0457,              0.0093664,              0.0093664,              0.0093664
                     66,                0.90876,                 0.5746,                 1.0651,                0.86887,                0.77149,                0.88921,                0.66016,                0.89491,                0.62353,                 1.0502,              0.0093565,              0.0093565,              0.0093565
                     67,                0.91998,                0.56744,                 1.0519,                0.86349,                 0.8815,                0.93813,                0.69014,                0.89172,                0.61007,                 1.0671,              0.0093466,              0.0093466,              0.0093466
                     68,                0.93507,                0.57563,                 1.0718,                0.81917,                0.80021,                 0.8436,                0.60428,                0.93881,                0.70396,                 1.0961,              0.0093367,              0.0093367,              0.0093367
                     69,                0.91589,                0.56977,                 1.0444,                0.81414,                0.74878,                0.87966,                0.64281,                0.93035,                0.68032,                 1.0631,              0.0093268,              0.0093268,              0.0093268
                     70,                0.89766,                0.56623,                 1.0474,                0.81546,                0.84441,                 0.9069,                0.63932,                0.90503,                0.62341,                 1.0603,              0.0093169,              0.0093169,              0.0093169
                     71,                0.91299,                0.57339,                 1.0508,                0.85088,                0.87716,                0.91022,                0.62397,                 0.9337,                0.65867,                 1.0589,               0.009307,               0.009307,               0.009307
                     72,                0.92457,                 0.5754,                 1.0633,                0.86776,                0.90431,                0.94557,                0.67862,                0.87716,                0.59656,                 1.0473,              0.0092971,              0.0092971,              0.0092971
                     73,                0.89737,                 0.5611,                 1.0418,                0.83401,                0.85028,                0.91679,                0.65099,                0.89363,                0.62363,                 1.0553,              0.0092872,              0.0092872,              0.0092872
                     74,                0.89134,                0.55346,                 1.0263,                0.82138,                  0.843,                0.91674,                0.64734,                0.90539,                0.62087,                 1.0506,              0.0092773,              0.0092773,              0.0092773
                     75,                0.87043,                0.52436,                 1.0253,                0.87934,                0.76346,                0.90442,                0.67251,                0.92002,                0.64132,                 1.0808,              0.0092674,              0.0092674,              0.0092674
                     76,                0.87769,                0.54367,                 1.0255,                0.84874,                0.77019,                 0.8615,                0.62751,                  0.878,                0.66067,                 1.0348,              0.0092575,              0.0092575,              0.0092575
